ch_name,x,y,z
Probe1-ch1,0.0511,0.0479,0.0544
Probe1-ch2,0.0632,0.0219,0.053
Probe1-ch3,0.0696,-0.0060999999999999,0.0462
Probe1-ch4,0.07,-0.0338,0.0437
Probe1-ch5,0.0634,-0.0613999999999999,0.0351
Probe1-ch6,0.0514,0.0405,0.0777
Probe1-ch7,0.0615,0.0174,0.0726
Probe1-ch8,0.0683,-0.0094,0.0694
Probe1-ch9,0.0665,-0.037,0.0649
Probe1-ch10,0.0622999999999999,-0.0642,0.0591
Probe1-ch11,0.0442,0.0359,0.0960999999999999
Probe1-ch12,0.0555,0.0113,0.0965999999999999
Probe1-ch13,0.0602,-0.0155,0.097
Probe1-ch14,0.0575,-0.043,0.0911
Probe1-ch15,0.0462,-0.0711,0.0862
Probe2-ch1,-0.066,-0.0670999999999999,0.0308
Probe2-ch2,-0.0736,-0.0402999999999999,0.0387
Probe2-ch3,-0.078,-0.0153,0.0453
Probe2-ch4,-0.0747999999999999,0.0144,0.0542999999999999
Probe2-ch5,-0.0670999999999999,0.0392,0.06
Probe2-ch6,-0.068,-0.0722,0.0509
Probe2-ch7,-0.075,-0.0476,0.0603
Probe2-ch8,-0.0779,-0.0197,0.0694
Probe2-ch9,-0.0751,0.0048,0.0741
Probe2-ch10,-0.0675,0.0272,0.0799
Probe2-ch11,-0.058,-0.0767,0.0792
Probe2-ch12,-0.068,-0.0542,0.0849
Probe2-ch13,-0.0735,-0.0266,0.0922
Probe2-ch14,-0.0719,-0.0034,0.0977
Probe2-ch15,-0.061,0.0215,0.1042
