ch_name,x,y,z
S1,0.0362,0.041,0.1125999999999999
D1,0.0487,0.0178,0.106
S2,0.056,-0.0101999999999999,0.1001
D2,0.0591,-0.0397999999999999,0.0924
S3,0.0571,-0.0625,0.0702
D3,0.0282,0.0273,0.1371
S4,0.0426,0.0072,0.1255
D4,0.0546,-0.0146,0.1127
S5,0.0562999999999999,-0.0437,0.1014
D5,0.0515,-0.0695,0.0925999999999999
S6,0.0233,0.023,0.1425
D6,0.0368999999999999,0.0028,0.1392
S7,0.046,-0.0255,0.1368
D7,0.0477,-0.0471,0.1219
S8,0.0407,-0.0719,0.1109
S9,-0.0574,-0.0899,0.0658
D8,-0.0719,-0.0665999999999999,0.0784
S10,-0.0827,-0.0401,0.0865
D9,-0.0843,-0.0106,0.0984
S11,-0.0820999999999999,0.0133,0.1025
D10,-0.0531,-0.0887,0.0938
S12,-0.0667,-0.0681,0.1033
D11,-0.0765999999999999,-0.0446,0.1135999999999999
S13,-0.0792,-0.019,0.1224
D12,-0.0784,0.0054,0.1189
S14,-0.0397999999999999,-0.0940999999999999,0.1123
D13,-0.0556,-0.0729,0.1222999999999999
S15,-0.0674,-0.0499,0.1336
D14,-0.0712,-0.0237,0.138
S16,-0.0645,0.0060999999999999,0.1432
