ch_name,x,y,z
S9,-0.0574,-0.0899,0.0658
D8,-0.0719,-0.0665999999999999,0.0784
S10,-0.0827,-0.0401,0.0865
D9,-0.0843,-0.0106,0.0984
S11,-0.0820999999999999,0.0133,0.1025
D10,-0.0531,-0.0887,0.0938
S12,-0.0667,-0.0681,0.1033
D11,-0.0765999999999999,-0.0446,0.1135999999999999
S13,-0.0792,-0.019,0.1224
D12,-0.0784,0.0054,0.1189
S14,-0.0397999999999999,-0.0940999999999999,0.1123
D13,-0.0556,-0.0729,0.1222999999999999
S15,-0.0674,-0.0499,0.1336
D14,-0.0712,-0.0237,0.138
S16,-0.0645,0.0060999999999999,0.1432
